precipitation,wind,temp_avg
0.0,4.7,8.9
10.9,4.5,6.699999999999999
0.8,2.3,9.45
20.3,4.7,8.899999999999999
1.3,6.1,5.85
2.5,2.2,3.3000000000000003
0.0,2.3,5.0
0.0,2.0,6.4
4.3,3.4,7.2
1.0,3.4,3.3499999999999996
0.0,5.1,2.5
0.0,1.9,2.1999999999999997
0.0,1.3,1.1
4.1,5.3,2.5
5.3,3.2,-1.0999999999999999
2.5,5.0,-0.5499999999999999
8.1,5.6,1.65
19.8,5.0,-1.4
15.2,1.6,-1.95
13.5,2.3,3.05
3.0,8.2,5.800000000000001
6.1,4.8,4.45
0.0,3.6,4.7
8.6,5.1,6.1
8.1,5.4,6.65
4.8,4.8,5.0
0.0,1.4,2.25
0.0,2.2,3.65
27.7,4.5,6.65
3.6,5.1,7.2
1.8,3.9,7.75
13.5,2.7,6.1
0.0,2.6,5.0
0.0,5.3,8.3
0.0,4.3,10.3
0.0,2.9,7.8
0.0,5.0,8.9
0.3,5.3,11.7
2.8,2.7,7.5
2.5,2.4,9.45
2.5,3.0,9.75
0.8,3.4,7.25
1.0,1.3,6.65
11.4,1.4,5.800000000000001
2.5,3.1,3.9000000000000004
0.0,1.8,3.9
1.8,2.1,5.25
17.3,3.4,7.2
6.4,8.1,5.3
0.0,4.7,4.45
3.0,2.9,4.75
0.8,7.5,8.9
8.6,5.9,6.4
0.0,3.9,5.550000000000001
11.4,3.5,5.550000000000001
0.0,6.4,5.0
1.3,3.4,1.95
0.0,3.0,2.25
3.6,4.2,3.0500000000000003
0.8,7.0,3.05
0.0,3.1,3.5999999999999996
2.0,5.1,5.3
0.0,7.0,9.45
0.0,5.6,8.65
6.9,6.2,4.45
0.5,2.7,3.35
0.0,2.7,3.6
0.0,2.5,8.1
3.6,2.8,7.2
10.4,3.4,6.65
13.7,5.8,4.75
19.3,6.2,4.45
9.4,5.3,3.0999999999999996
8.6,4.7,4.45
23.9,5.8,8.35
8.4,5.1,6.4
9.4,3.8,5.3
3.6,2.7,2.2
2.0,3.0,3.05
3.6,6.4,5.0
1.3,2.5,5.0
4.1,2.1,5.85
0.0,2.8,6.3999999999999995
0.0,5.2,9.15
0.0,2.7,7.75
0.0,4.3,9.45
4.8,3.8,10.55
1.3,5.9,8.9
27.4,4.4,8.05
5.6,4.7,7.2
13.2,3.4,6.4
1.5,6.8,6.65
0.0,3.1,10.55
1.5,3.1,7.5
0.0,2.1,6.699999999999999
4.6,1.8,6.1
0.3,2.6,7.199999999999999
0.0,4.3,8.9
0.0,4.1,14.15
0.0,2.1,13.05
0.0,3.2,13.350000000000001
2.3,2.6,9.15
0.5,2.6,9.75
0.0,4.0,9.45
0.0,3.0,9.45
0.0,2.9,11.65
8.1,5.8,10.0
1.8,2.0,7.2
1.8,3.9,10.25
10.9,2.6,9.45
6.6,2.7,10.0
0.0,2.3,12.2
0.0,2.6,15.8
0.0,3.5,15.3
4.3,2.8,11.95
10.7,2.6,12.8
3.8,5.2,10.3
0.8,4.8,9.7
0.0,2.5,12.200000000000001
4.3,1.6,12.25
4.3,8.0,10.0
0.5,6.4,8.899999999999999
0.5,2.5,9.45
18.5,3.4,9.15
1.8,4.6,9.149999999999999
0.0,2.3,9.15
0.0,2.4,11.4
0.0,2.2,15.0
0.0,3.0,13.850000000000001
0.0,3.9,10.0
0.0,3.0,9.15
0.0,4.3,11.350000000000001
0.0,3.4,15.549999999999999
0.0,4.2,17.5
0.0,3.8,19.75
0.0,4.1,16.9
0.0,3.5,14.399999999999999
0.0,2.9,12.25
0.0,3.1,11.7
0.0,1.5,13.299999999999999
6.4,1.3,13.05
14.0,4.0,13.35
6.1,4.8,10.850000000000001
0.3,6.3,11.65
0.0,3.3,13.05
0.0,3.1,15.55
0.0,3.6,15.55
0.0,3.7,14.45
0.0,3.4,13.35
0.0,1.8,11.950000000000001
0.3,1.5,15.0
3.8,2.7,15.0
6.6,3.7,16.4
0.3,3.7,14.75
0.0,2.9,13.3
1.3,3.1,10.850000000000001
16.0,3.3,10.8
0.0,3.4,11.100000000000001
16.5,3.5,12.5
1.5,3.0,11.65
0.0,4.7,12.75
0.0,2.9,14.45
0.0,1.8,16.65
0.8,3.9,15.55
0.0,4.3,13.600000000000001
0.0,2.7,13.6
0.0,1.7,15.8
0.0,4.1,18.05
0.0,6.4,15.299999999999999
3.0,3.8,13.6
1.0,3.0,14.7
0.0,3.0,17.2
0.0,2.1,17.799999999999997
15.7,1.9,12.8
8.6,2.5,12.5
0.0,2.0,14.399999999999999
0.5,3.1,15.25
0.0,3.4,14.45
0.0,1.8,15.850000000000001
0.0,2.5,16.95
0.3,1.9,18.35
3.0,2.4,16.65
0.0,2.3,16.1
2.0,2.1,15.299999999999999
5.8,6.0,14.45
0.0,3.8,15.0
0.0,3.1,17.5
0.0,2.1,18.05
0.0,3.8,19.75
0.0,2.8,21.35
1.5,2.0,18.9
0.0,2.3,17.5
0.0,2.9,20.55
0.0,2.7,19.450000000000003
0.5,2.2,18.6
0.0,2.2,20.0
0.0,3.8,16.1
0.3,2.5,19.700000000000003
0.0,2.6,18.35
0.0,2.9,17.75
0.0,2.2,19.7
15.2,4.0,16.65
0.0,2.3,18.9
1.0,3.9,16.4
0.0,3.3,15.0
0.0,4.3,17.75
0.0,2.6,19.75
0.0,2.2,19.200000000000003
0.0,2.8,16.4
0.0,1.7,17.75
0.0,2.0,18.9
0.0,3.0,16.35
0.0,2.8,18.35
0.0,2.2,18.6
0.0,2.5,17.75
0.0,3.9,20.0
0.0,3.7,25.299999999999997
0.0,1.9,25.85
0.0,2.5,21.95
0.0,2.6,18.05
0.0,3.1,18.6
0.0,3.8,19.4
0.0,2.3,18.9
0.0,2.5,20.8
0.0,3.0,22.8
0.0,2.8,22.8
0.0,2.8,21.4
0.0,4.7,23.9
0.0,2.8,26.35
0.0,1.8,24.45
0.0,3.0,18.05
0.0,2.7,19.15
0.0,1.9,20.3
0.0,3.0,18.3
0.0,2.3,17.75
0.0,3.8,17.5
0.0,3.3,16.1
0.0,3.2,18.9
0.0,3.4,16.65
0.0,1.8,18.6
0.0,3.2,17.5
0.0,2.4,18.05
0.0,1.9,17.8
0.0,2.9,16.4
0.0,2.1,16.15
0.0,2.0,15.55
0.0,3.3,17.8
0.0,3.1,17.75
0.0,2.6,18.9
0.0,4.2,21.35
0.0,3.1,22.75
0.0,3.0,19.15
0.3,5.0,16.4
0.3,3.9,15.85
0.0,4.2,14.45
0.0,5.6,16.1
0.0,3.6,19.75
0.0,1.5,18.6
0.0,1.9,16.65
0.0,2.3,16.9
0.0,2.2,19.75
0.0,1.4,19.75
0.0,1.9,17.799999999999997
0.0,2.5,14.7
0.0,2.1,14.450000000000001
0.3,1.1,15.549999999999999
0.0,1.4,14.7
0.0,1.8,15.55
0.0,1.7,15.25
0.0,1.7,14.399999999999999
0.0,1.7,16.4
0.0,1.1,18.6
0.0,4.3,16.4
0.0,3.1,14.450000000000001
0.0,3.0,16.1
0.0,4.1,13.9
0.0,7.3,13.35
0.0,6.5,13.6
0.0,5.7,15.3
0.0,5.1,15.85
0.0,1.3,15.85
0.0,1.9,14.450000000000001
0.0,1.6,12.5
0.0,1.4,10.25
0.0,1.3,10.55
2.0,4.6,11.4
4.8,3.9,13.899999999999999
16.5,3.4,15.55
7.9,4.6,14.149999999999999
0.0,5.5,12.200000000000001
0.0,1.6,10.25
20.8,2.0,12.25
4.8,5.3,12.2
0.5,5.7,8.6
6.4,2.7,8.05
8.9,2.6,5.55
0.0,3.0,8.35
7.1,2.1,8.899999999999999
0.0,1.5,9.2
1.5,2.5,9.15
23.1,5.1,11.9
6.1,3.8,12.2
10.9,4.9,12.8
34.5,2.8,13.6
14.5,2.7,13.35
9.7,3.0,12.8
5.6,1.0,12.8
0.5,3.6,13.35
8.1,3.8,15.3
0.8,4.0,11.4
0.3,3.5,9.75
0.0,3.4,8.049999999999999
0.0,3.4,5.55
0.0,2.0,5.0
0.0,2.2,3.6
15.2,3.0,5.0
3.6,3.0,9.45
5.3,2.5,9.45
0.8,2.6,8.05
0.0,2.4,6.1
5.6,1.6,5.800000000000001
6.1,5.3,9.149999999999999
7.9,4.9,8.05
54.1,6.0,10.8
3.8,4.2,9.15
11.2,5.5,6.1000000000000005
0.0,1.5,5.85
32.0,2.4,7.75
0.0,1.2,6.4
0.0,3.6,4.7
0.0,3.8,5.55
0.0,1.5,5.85
2.8,2.9,5.800000000000001
1.5,4.2,10.3
35.6,4.6,11.4
4.1,5.5,10.8
19.6,6.2,7.75
13.0,4.4,8.3
14.2,6.2,9.45
1.5,5.0,6.65
1.5,5.1,6.65
1.0,4.6,5.55
0.0,2.0,5.0
1.5,2.1,4.75
0.5,1.8,6.4
3.0,4.5,6.699999999999999
8.1,2.0,5.550000000000001
2.3,2.8,5.25
7.9,1.7,3.5999999999999996
5.3,5.1,2.5
22.6,5.5,5.0
2.0,9.5,5.0
3.3,5.3,2.25
13.7,5.8,5.0
13.2,3.7,3.9
1.8,1.7,3.3000000000000003
3.3,3.5,6.1000000000000005
6.6,2.5,5.25
0.3,2.8,4.199999999999999
13.5,4.2,4.199999999999999
4.6,4.9,5.0
4.1,3.2,5.55
0.0,1.7,6.1000000000000005
1.5,1.7,4.15
0.0,1.8,2.2
0.0,2.0,1.0999999999999999
0.0,2.7,1.1
0.0,3.2,2.5
4.1,3.0,2.5
2.5,2.8,6.1
3.0,3.1,5.550000000000001
2.0,3.0,5.0
2.3,7.3,7.2
16.3,6.3,8.649999999999999
38.4,5.1,5.85
0.3,2.1,1.3499999999999999
0.0,1.9,0.0
0.0,2.0,-0.55
0.0,1.5,-1.1
0.0,1.3,0.5499999999999998
0.0,2.3,3.0500000000000003
0.0,1.8,1.0999999999999999
0.0,1.0,0.55
0.0,1.3,1.0999999999999999
0.0,1.9,0.25000000000000006
0.0,2.1,1.3499999999999999
0.0,1.1,0.2500000000000001
0.0,0.6,0.7999999999999999
5.1,3.1,4.7
5.8,2.6,4.15
3.0,2.1,6.699999999999999
2.3,4.5,6.1000000000000005
1.8,4.5,4.75
7.9,3.2,4.699999999999999
4.3,3.9,6.65
3.6,3.9,7.800000000000001
3.0,4.0,8.3
0.3,2.9,8.35
0.0,2.0,4.449999999999999
2.3,2.9,5.85
0.0,2.6,8.65
3.3,5.1,8.35
1.0,4.5,8.35
1.3,4.1,6.35
0.0,1.3,5.0
0.3,1.3,6.3500000000000005
0.0,2.0,5.3
0.3,1.4,6.3500000000000005
1.0,5.6,9.15
2.3,4.1,8.3
1.0,2.2,7.5
0.0,2.4,9.15
0.0,5.6,7.5
0.0,3.4,6.9
0.0,1.9,5.85
0.0,3.4,6.1499999999999995
1.5,2.1,4.45
0.5,6.2,5.3
9.4,8.1,5.85
0.3,4.6,6.95
0.0,5.5,6.95
2.3,7.1,6.949999999999999
0.5,3.8,6.4
4.6,1.8,7.2
8.1,3.8,9.2
4.1,5.4,13.05
0.8,4.5,9.45
0.0,2.8,6.65
0.0,3.9,6.65
0.0,2.4,7.75
11.9,4.1,6.1
7.4,2.5,8.6
0.0,2.6,6.949999999999999
0.0,1.3,6.95
0.8,1.6,5.85
1.3,1.1,8.35
2.0,5.7,11.4
2.3,3.7,10.55
2.8,3.0,10.55
0.0,4.3,11.65
4.3,6.4,7.5
0.0,6.1,6.4
0.0,5.9,7.8
11.7,3.4,7.25
9.9,7.6,7.75
8.1,4.9,6.1
0.0,2.2,5.0
0.0,2.6,5.55
0.0,2.1,6.3999999999999995
0.0,2.8,10.55
0.0,1.7,11.399999999999999
0.3,1.6,10.25
2.0,1.3,12.200000000000001
0.0,2.5,13.05
0.0,4.4,12.8
0.0,2.9,13.65
0.0,3.6,12.75
0.0,2.2,11.4
0.0,1.6,12.25
8.4,3.0,12.2
18.5,5.6,11.95
12.7,5.0,9.7
39.1,3.9,6.65
0.8,3.1,9.7
0.0,2.4,9.149999999999999
9.4,6.4,11.95
1.5,3.8,9.45
9.7,4.6,6.1
9.4,5.7,6.949999999999999
5.8,2.3,8.600000000000001
0.0,2.4,9.15
0.3,2.6,8.6
0.0,3.3,9.45
5.3,4.0,9.2
20.6,4.9,11.350000000000001
0.0,5.8,11.100000000000001
3.3,4.1,9.45
0.0,4.3,10.55
0.0,2.8,10.85
0.0,3.0,13.600000000000001
0.0,1.1,14.2
0.0,2.2,14.450000000000001
0.0,5.9,12.25
1.0,5.2,12.2
3.8,4.2,10.3
0.0,2.4,8.600000000000001
0.0,3.1,10.8
0.0,4.0,13.65
0.0,4.9,15.55
0.0,6.5,18.05
0.0,5.3,20.299999999999997
0.0,2.0,21.4
0.0,3.3,15.850000000000001
0.0,1.9,15.25
0.0,1.3,16.4
0.0,1.0,17.75
0.0,2.6,19.7
6.6,3.9,17.8
3.3,5.0,14.149999999999999
0.0,2.4,13.05
1.0,2.3,13.05
0.0,2.7,16.95
0.5,3.7,14.45
0.0,2.9,13.899999999999999
0.0,2.3,14.45
0.0,1.8,14.399999999999999
13.7,4.8,11.95
13.7,3.0,9.15
4.1,1.9,9.45
0.3,2.7,12.8
0.0,2.7,13.9
1.5,2.2,14.45
9.7,3.1,13.899999999999999
0.5,2.8,14.45
5.6,4.0,12.75
0.0,5.3,13.05
0.0,2.5,15.25
0.0,2.5,17.5
1.0,3.1,16.4
0.0,2.9,16.65
0.0,3.4,19.15
0.0,3.1,20.55
0.0,2.5,19.45
0.0,3.2,17.5
0.0,3.1,16.700000000000003
0.0,3.7,15.850000000000001
0.0,3.2,16.7
0.0,5.7,15.0
0.3,4.2,16.15
0.0,2.6,16.4
0.0,3.7,16.1
0.0,2.9,17.8
0.0,3.4,18.35
0.0,3.0,19.75
0.3,3.4,18.3
0.0,3.7,16.4
3.0,5.0,15.0
0.3,1.5,16.4
0.0,1.7,18.65
7.9,2.1,18.6
4.8,3.7,17.5
9.9,2.8,18.85
2.0,2.3,18.6
3.6,1.3,18.9
0.0,2.2,23.35
0.0,1.7,24.15
0.0,2.5,25.549999999999997
0.0,2.3,25.0
0.0,3.0,21.95
0.0,3.2,21.4
0.0,2.2,17.8
0.0,2.6,18.6
0.0,2.2,19.700000000000003
0.0,2.9,18.9
0.0,2.8,20.0
0.0,2.5,22.5
0.0,2.6,18.05
0.0,3.0,17.5
0.0,2.2,16.35
0.0,3.1,18.6
0.0,3.0,20.3
0.0,4.6,21.1
0.0,4.1,24.700000000000003
0.0,3.7,18.6
0.0,2.0,20.0
0.0,1.9,20.55
0.0,2.0,19.15
0.0,2.3,18.35
0.0,2.4,19.700000000000003
0.0,3.0,22.5
0.0,2.5,22.75
0.0,2.3,21.950000000000003
0.0,2.9,22.75
0.0,2.6,19.200000000000003
0.0,3.4,16.65
0.0,1.4,19.15
0.0,2.8,19.15
0.0,1.8,17.5
0.0,3.9,16.950000000000003
2.0,2.0,16.1
0.0,2.4,20.3
0.0,3.4,21.95
0.0,2.1,22.5
0.0,1.4,22.25
0.0,1.9,22.5
0.0,2.5,21.35
0.0,2.1,21.35
2.3,2.9,20.3
0.0,2.9,19.7
0.0,1.9,20.85
0.0,1.8,21.4
0.8,2.0,21.1
1.8,1.0,19.15
0.0,2.2,22.5
0.0,3.0,21.4
0.0,3.1,20.85
0.0,3.0,21.15
0.0,4.6,20.85
0.0,4.3,21.4
0.0,1.9,21.95
0.0,4.1,20.55
0.0,2.7,20.85
0.3,2.6,19.15
1.0,1.9,20.25
1.3,1.4,21.95
5.6,1.3,21.15
19.3,3.0,21.1
0.0,2.9,21.1
0.0,2.6,20.85
0.0,2.5,21.7
0.0,2.1,22.5
2.3,1.7,20.85
0.3,2.4,19.450000000000003
27.7,2.5,17.8
21.3,2.6,18.9
0.0,2.0,20.25
0.0,1.5,20.55
0.0,2.1,20.0
0.0,3.7,20.85
0.0,2.4,25.0
0.0,1.7,20.3
0.0,2.0,17.25
0.0,1.4,18.65
3.3,2.2,16.65
0.3,4.3,18.35
0.0,2.3,15.850000000000001
0.0,2.5,17.200000000000003
0.0,1.5,17.8
3.6,3.0,18.3
0.0,2.5,17.200000000000003
13.5,5.5,15.25
2.8,4.5,13.600000000000001
0.0,2.6,13.9
2.0,3.0,12.75
0.0,2.2,12.2
1.0,4.3,12.25
43.4,6.0,14.2
16.8,7.1,12.75
18.5,6.3,11.95
7.9,4.7,11.65
5.3,2.4,11.100000000000001
0.8,0.9,11.65
0.0,1.1,11.7
0.0,1.6,14.15
4.1,2.6,15.3
0.5,6.3,13.9
6.9,3.0,10.85
0.0,1.6,10.3
1.0,1.7,11.350000000000001
9.1,1.0,12.25
1.0,2.2,11.65
0.0,1.8,10.85
0.0,1.6,9.75
0.0,0.9,10.3
0.0,2.7,10.850000000000001
0.0,1.7,11.65
0.0,1.2,10.0
0.0,1.4,9.2
0.0,2.4,9.2
0.0,2.5,10.0
0.0,1.9,10.8
0.0,0.4,9.45
0.0,0.6,8.05
0.0,1.8,10.0
0.0,2.7,10.0
1.8,4.4,11.100000000000001
0.0,5.1,10.8
0.0,2.2,8.3
0.5,3.9,10.3
0.3,2.2,12.5
1.3,1.4,14.75
12.7,7.9,11.350000000000001
0.5,2.4,8.3
0.0,1.6,7.25
2.5,3.1,10.25
3.8,1.7,10.3
30.0,7.2,10.55
0.0,4.1,10.25
1.8,1.4,8.05
0.0,4.4,9.7
0.0,2.6,11.100000000000001
4.1,2.2,12.25
0.0,3.8,12.25
1.3,1.1,8.6
3.0,6.0,8.9
0.0,4.6,7.5
5.3,5.4,9.45
26.2,3.9,11.100000000000001
1.0,5.1,8.850000000000001
0.0,4.3,4.75
0.0,3.6,3.65
0.0,4.6,4.7
0.0,2.6,6.1
0.0,0.9,6.1499999999999995
0.0,0.5,7.199999999999999
0.0,1.0,7.5
0.0,1.3,10.0
0.0,0.7,7.5
0.5,2.1,7.2
2.3,3.9,9.15
3.0,8.8,10.55
4.6,3.5,4.75
0.0,5.6,2.25
0.0,1.6,1.1500000000000001
0.0,2.6,-1.9000000000000001
0.0,4.7,-1.5999999999999999
0.0,3.1,-3.55
0.0,2.2,-2.1999999999999997
0.0,1.3,-1.9000000000000001
0.0,1.5,3.0999999999999996
0.0,0.8,1.7
6.9,2.3,2.55
0.5,2.9,7.5
0.0,3.7,7.75
1.3,3.9,10.0
0.3,1.0,7.2
0.0,2.7,6.3500000000000005
1.3,2.8,5.0
0.0,2.1,2.5
5.6,3.7,4.45
5.6,2.3,7.25
10.7,4.0,9.45
1.5,5.9,8.899999999999999
0.0,1.7,5.550000000000001
0.0,0.8,4.2
0.0,0.5,3.65
0.3,2.1,4.45
0.0,1.3,6.35
